athlete_id,ELO,counted_races,name,country,last_race,races_sequence,elo_sequence
39901,981.37245701986,1,A. Fuat Gur,,,,
14151,980.305978693231,3,A. Oguz Omur,,,,
26748,981.132620504096,1,A. Onur Kanar,,,,
8933,973.05031746782,1,Aaron Altura,,,,
12170,923.023146509915,8,Aaron Bachman,,,,
28283,989.754900294743,6,Aaron Barclay,,,,
41399,973.348142949892,1,Aaron Bradley,,,,
5673,1096.35332425521,14,Aaron Farlow,,,,
17584,1243.21964902844,39,Aaron Harris,,,,
111877,953.704505699991,4,Aaron Houghton,,,,
18603,954.21453193439,3,Aaron Kamnetz,,,,
46675,940.430320464654,3,Aaron O'Brien,,,,
55980,967.075534775392,2,Aaron Pages,,,,
114984,919.946929021631,5,Aaron Richard Hunho Kiss,,,,
10141,1292.25648557599,96,Aaron Royle,,,,
21949,930.472922742854,4,Aaron Terechovs,,,,
22325,893.642977115636,17,Aaron Thomas,,,,
5865,873.472260945252,20,Aaron Webb,,,,
167499,968.469490752656,1,Aarón Navarro Sanchez,,,,
173075,1001.14832355564,1,Ababacar Sadikh Sall,,,,
131322,973.338311275831,1,Abbas Ahad Shakir,,,,
26742,988.802014183076,2,Abbas Eyupoglu,,,,
70343,983.250415693712,1,Abd El Smeaa Belkasem El Brakiy,,,,
121683,957.210447381671,2,Abdalla Mansour,,,,
104626,863.470579900528,14,Abdallah Abushabab,,,,
137130,968.645981279452,1,Abdallah Nsabindemyi,,,,
39735,984.801028448431,1,Abdalsalam Alhussein,,,,
22132,979.958612354828,1,Abdelouahed Ibnouzahir,,,,
82912,974.672272831228,1,Abdelrahman Fouad,,,,
159028,937.762806018767,3,Abdelrahman Yasser,,,,
168796,971.070062536747,1,Abdul Salvador Arechiga Becerra,,,,
141911,949.907281412953,2,Abdulaziz Alduaij,,,,
35017,984.92783677484,1,Abdulkadir Jabanain,,,,
165616,977.771458630159,1,Abdulla Al Lqeti,,,,
118930,983.738356388052,1,Abdulla Albalooshi,,,,
118929,986.785975435671,1,Abdulla Alfalasi,,,,
92215,951.276918557612,3,Abdulla Attiya,,,,
158600,978.018840709441,1,Abdulla Shaheen Alkaabi,,,,
142314,990.592393224512,1,Abdullah Aldeyabi,,,,
121630,988.244289757215,1,Abdullah Alsharhan,,,,
163731,979.260621353218,1,Abdulrahman Abdullah H Alghamdi ,,,,
116714,980.945844157372,3,Abdulrahman Mubarak,,,,
22426,943.025664694052,2,Abdurrahm Tarakci,,,,
11221,961.292507644669,2,Abdurrahman Kale,,,,
82395,975.833926086694,1,Abdussamie El Barekimi,,,,
6512,920.506693267316,26,Abe Rogers,,,,
136411,987.663814307977,1,Abel Afonso,,,,
74302,978.16860862082,1,Abel Sousa,,,,
13926,940.969623440903,3,Abel Villalobos,,,,
10875,926.069125682887,4,Abet Biagan,,,,
144024,972.827426141516,1,Abhishek Kumar Singh,,,,
106769,897.470838727539,8,Abner Emanuel Ascui Molina,,,,
77461,923.462496515997,3,Abner Nava Alvarez,,,,
18427,1082.39164853946,25,Abraham Castellanos,,,,
10988,983.552802378301,1,Abraham Miranda,,,,
11956,991.48321462497,4,Abraham Pino,,,,
103529,1051.48120398639,12,Abraham Rodriguez Moreno,,,,
57876,954.862919032843,2,Abraham Viramontes,,,,
16030,1099.1135361482,9,Abrahm Louw,,,,
49999,982.774541530289,1,Abri Van Der Walt,,,,
136281,961.900306056755,2,Abzal Orynbek,,,,
54516,989.039142514371,1,Achim Schreiner,,,,
8182,979.000752403849,2,Adam Beckworth,,,,
32470,1313.48295903056,63,Adam Bowden,,,,
132307,942.199074938172,3,Adam Brumley,,,,
19560,934.050495740922,8,Adam Campbell,,,,
10003,1049.32642442691,22,Adam Carlton,,,,
8186,988.267982051209,4,Adam Fitzakerley,,,,
11136,985.062215373493,1,Adam Giza,,,,
47816,984.378369347678,1,Adam Lambrechts,,,,
104032,954.883979206256,4,Adam Martin,,,,
39280,998.171151924665,42,Adam Rudgley,,,,
8202,950.032436849303,2,Adam Smith,,,,
77382,975.781370936641,2,Adam Sopko,,,,
13172,945.115732416303,10,Adam Truex,,,,
9630,1004.62145489113,1,Adam Webber,,,,
142169,1053.24900687944,4,Adarsh Muralidharan Nair Sinimol,,,,
116396,986.101936689713,2,Aday Alvarez Diez De Ulzurrun,,,,
160103,1002.32825103632,1,Addard De Bastiami,,,,
21987,976.111468149934,1,Adel Masmoudi,,,,
121571,968.917870612634,1,Adilcan Adısanoğlu,,,,
161443,925.357604004124,5,Adoh Doherty,,,,
7125,966.504329851263,1,Adolfo Yaya,,,,
49864,1008.20121634844,4,Adolft Hanel,,,,
